Keuwl Accelerometer Data File
2021-04-04 11-07-14

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.3397522,-1.551514,5.664886,11.324219,12.756804,27.414330,105.316711
0.3437805,-1.407852,5.415894,11.264359,12.577747,26.417181,104.571442
0.3478394,-1.245041,5.217178,11.065643,12.297054,25.860161,103.422173
0.3518677,-1.065491,5.049576,10.771164,11.943679,25.600380,101.914970
0.3559265,-0.861969,4.946625,10.402451,11.550890,25.766157,99.884766
0.3599548,-0.668045,4.915512,9.969101,11.135148,26.455282,97.739395
0.3640136,-0.478897,4.951416,9.475891,10.702260,27.697943,95.524422
0.3680420,-0.323288,5.023239,8.963531,10.280191,29.317165,93.682388
0.3721008,-0.208359,5.121414,8.448776,9.882010,31.244089,92.329727
0.3761292,-0.148499,5.212387,7.969940,9.524231,33.195564,91.631889
0.3801880,-0.134140,5.284210,7.524628,9.195700,35.087334,91.454147
0.3842468,-0.155685,5.315338,7.117599,8.884665,36.763714,91.677704
0.3882751,-0.196381,5.310547,6.789597,8.622012,38.050076,92.117798
0.3923340,-0.258636,5.265060,6.523849,8.387393,38.938946,92.812286
0.3963623,-0.342438,5.171692,6.339493,8.188580,39.268612,93.788246
0.4004211,-0.414261,5.047195,6.236542,8.033694,39.077129,94.692169
0.4044495,-0.488480,4.889175,6.236542,7.939591,38.233131,95.705513
0.4085083,-0.536362,4.709610,6.294006,7.879253,36.983624,96.497231
0.4125366,-0.567490,4.534836,6.399353,7.863746,35.533165,97.132919
0.4165955,-0.581848,4.350479,6.533417,7.870880,33.893608,97.617729
0.4206237,-0.612976,4.170914,6.669891,7.890482,32.295006,98.360596
0.4246826,-0.634521,4.010498,6.780029,7.902880,30.916298,98.990540
0.4287109,-0.641708,3.864456,6.851852,7.892635,29.757666,99.428162
0.4327697,-0.622559,3.747131,6.878189,7.857357,28.909782,99.433113
0.4367981,-0.601013,3.646576,6.835098,7.770283,28.400316,99.359108
0.4408569,-0.567490,3.555603,6.729752,7.632425,28.148026,99.068169
0.4449158,-0.536362,3.478989,6.578918,7.461449,28.149292,98.764381
0.4489441,-0.505234,3.423920,6.404129,7.279516,28.388201,98.393997
0.4530029,-0.466934,3.395187,6.219788,7.101484,28.855057,97.830666
0.4570313,-0.433411,3.395187,6.054581,6.955077,29.480085,97.274712
0.4610901,-0.395111,3.433502,5.910934,6.847204,30.315102,96.564453
0.4651184,-0.347229,3.495743,5.784042,6.767269,31.272455,95.672531
0.4691772,-0.306519,3.586731,5.685867,6.729612,32.338493,94.884575
0.4732056,-0.270615,3.687286,5.611649,6.720112,33.378666,94.197487
