Keuwl Accelerometer Data File
2021-04-09 15-36-29

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.1649490,-0.099192,0.111337,0.981377,0.354208,-3.488762,18.363174
0.1669502,-0.113557,0.130492,0.947857,0.331122,-3.313591,18.548546
0.1689513,-0.118346,0.130492,0.921520,0.307006,-3.254683,18.616707
0.1709531,-0.171020,0.168800,0.842509,0.251057,-2.863228,19.318253
0.1729544,-0.163837,0.178377,0.804201,0.219455,-2.731876,19.205704
0.1749559,-0.123134,0.183166,0.770680,0.189330,-2.648722,18.628654
0.1769515,-0.034546,0.187954,0.682093,0.107844,-2.452065,17.378799
0.1789532,0.008551,0.221474,0.557590,0.006887,-1.999117,16.752213
0.1809547,-0.001026,0.264571,0.418722,-0.101445,-1.438736,16.859520
0.1829561,-0.003421,0.290908,0.356471,-0.146761,-1.146946,16.876488
0.1849567,0.013339,0.312457,0.272672,-0.213684,-0.827932,16.634415
0.1869580,0.030099,0.360342,0.227180,-0.234332,-0.462479,16.381973
0.1889594,0.061225,0.415410,0.133803,-0.294526,0.065556,15.940315
0.1909607,0.113899,0.470479,0.042821,-0.351811,0.592995,15.225502
0.1929624,0.113899,0.470479,0.042821,-0.351811,0.592995,15.225502
0.1949638,0.145024,0.477661,-0.000276,-0.387165,0.745441,14.814171
0.1969651,0.164179,0.477661,-0.019430,-0.404286,0.796783,14.561920
0.1989662,0.180939,0.472873,-0.062527,-0.444856,0.888636,14.341187
0.2009678,0.202487,0.460901,-0.074498,-0.460942,0.857618,14.056290
0.2029692,0.207276,0.453719,-0.072104,-0.462065,0.812700,13.992409
0.2049705,0.178544,0.465690,-0.072104,-0.456654,0.876425,14.372810
0.2069721,0.121082,0.448930,-0.045767,-0.440618,0.716970,15.134705
0.2089737,0.101928,0.458507,-0.036190,-0.427601,0.743799,15.386269
0.2109786,0.051648,0.475267,0.042821,-0.349016,0.625875,16.044411
0.2129859,0.037282,0.477661,0.076342,-0.317816,0.551155,16.232491
0.2149872,0.015734,0.482450,0.112255,-0.283247,0.484829,16.513542
0.2169886,-0.012998,0.494421,0.179295,-0.217435,0.376919,16.883904
0.2189899,-0.080037,0.513576,0.248729,-0.145222,0.313551,17.746147
0.2209887,-0.108769,0.539913,0.332528,-0.057698,0.242428,18.097481
0.2229901,-0.139894,0.551884,0.363654,-0.023556,0.235170,18.488495
0.2249915,-0.202145,0.580615,0.399569,0.023561,0.315615,19.257751
0.2269935,-0.223694,0.597375,0.425905,0.055429,0.343386,19.513481
0.2289951,-0.254819,0.626106,0.469002,0.108071,0.393967,19.873596
0.2309958,-0.312282,0.664415,0.488156,0.144948,0.567919,20.545280
0.2329972,-0.341013,0.678781,0.497733,0.161376,0.631615,20.883087
0.2349985,-0.391293,0.700329,0.507311,0.182310,0.744951,21.473587
0.2369999,-0.489458,0.688357,0.495339,0.172264,0.782482,22.702744
0.2390009,-0.544527,0.664415,0.492945,0.163184,0.711550,23.425568
0.2410020,-0.570864,0.657232,0.488156,0.157622,0.709431,23.764221
0.2430033,-0.503824,0.702723,0.509705,0.192475,0.827625,22.852890
0.2450046,-0.427207,0.755397,0.540831,0.239097,0.955492,21.827072
